foler/package name,pypi link,latest track1 version,latest track1 release date,track1 GA version,latest track2 version,latest track2 release date,track2 GA version,cli dependency,readme config,bot advice,readme link,multi api,whl size(MB),test coverage,passed,failed,skipped
graphservices/azure-mgmt-graphservices,https://pypi.org/pypi/azure-mgmt-graphservices,NA,NA,NA,1.0.0,2023/06/25,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/graphservicesprod/resource-manager,,0.049,-, -, -, -
recoveryservices/azure-mgmt-recoveryservicessiterecovery,https://pypi.org/pypi/azure-mgmt-recoveryservicessiterecovery,NA,NA,NA,1.2.0,2024/02/22,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/recoveryservicessiterecovery/resource-manager,,0.396,-, -, -, -
computefleet/azure-mgmt-computefleet,https://pypi.org/pypi/azure-mgmt-computefleet,NA,NA,NA,1.0.0b1,2024/07/23,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/azurefleet/resource-manager,,0.104,-, -, -, -
largeinstance/azure-mgmt-largeinstance,https://pypi.org/pypi/azure-mgmt-largeinstance,NA,NA,NA,1.0.0b1,2024/04/15,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/azurelargeinstance/resource-manager,,0.061,-, -, -, -
astro/azure-mgmt-astro,https://pypi.org/pypi/azure-mgmt-astro,NA,NA,NA,1.0.0b1,2024/02/22,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/liftrastronomer/resource-manager,,0.053,-, -, -, -
aks/azure-mgmt-devspaces,https://pypi.org/pypi/azure-mgmt-devspaces,0.2.0,2019/05/23,NA,1.0.0b3,2023/08/22,NA,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/devspaces/resource-manager,,0.056,-, -, -, -
mobilenetwork/azure-mgmt-mobilenetwork,https://pypi.org/pypi/azure-mgmt-mobilenetwork,NA,NA,NA,3.3.0,2024/06/17,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/mobilenetwork/resource-manager,,0.206,-, -, -, -
network/azure-mgmt-frontdoor,https://pypi.org/pypi/azure-mgmt-frontdoor,0.3.0,2019/10/12,NA,1.2.0,2024/04/15,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/frontdoor/resource-manager,,0.136,-, -, -, -
cognitiveservices/azure-mgmt-cognitiveservices,https://pypi.org/pypi/azure-mgmt-cognitiveservices,7.0.0,2021/06/7,1.0.0,13.5.0,2023/07/24,11.0.0,track2_13.5.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/cognitiveservices/resource-manager,,0.138,-, -, -, -
desktopvirtualization/azure-mgmt-desktopvirtualization,https://pypi.org/pypi/azure-mgmt-desktopvirtualization,NA,NA,NA,2.0.0,2024/09/24,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/desktopvirtualization/resource-manager,,0.187,-, -, -, -
resourceconnector/azure-mgmt-resourceconnector,https://pypi.org/pypi/azure-mgmt-resourceconnector,NA,NA,NA,1.0.0,2023/08/21,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/resourceconnector/resource-manager,,0.051,-, -, -, -
managementgroups/azure-mgmt-managementgroups,https://pypi.org/pypi/azure-mgmt-managementgroups,0.2.0,2019/03/7,NA,1.1.0b1,2022/11/2,1.0.0,track2_1.0.0,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/managementgroups/resource-manager,,0.082,-, -, -, -
subscription/azure-mgmt-subscription,https://pypi.org/pypi/azure-mgmt-subscription,0.7.0,2020/10/12,NA,3.2.0b1,2022/12/28,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/subscription/resource-manager,,0.078,-, -, -, -
maintenance/azure-mgmt-maintenance,https://pypi.org/pypi/azure-mgmt-maintenance,0.1.0,2019/12/4,NA,2.2.0b2,2024/05/20,1.0.0,NA,track1,,https:/github.com/Azure/azure-rest-api-specs/tree/main/specification/maintenance/resource-manager,,0.104,-, -, -, -
